session_id,window_start,window_end,nb_gpt_calls,nb_used_suggestions,nb_modified_suggestions,nb_rejected_suggestions,nb_accepted_as_it_is_suggestions,nb_sentences_total,nb_sentences_full_GPT,nb_sentences_full_user,nb_sentences_GPT_user,GAI_dependence,writing_autonomy,writing_collaboration
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:00:41.033,2021-08-16 07:01:41.033,1,1,0,0,1,4,0,0,4,0.0,0.0,1.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:01:41.033,2021-08-16 07:02:41.033,0,0,0,0,0,2,0,2,0,0.0,1.0,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:02:41.033,2021-08-16 07:03:41.033,1,1,0,0,1,4,1,3,0,0.25,0.75,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:03:41.033,2021-08-16 07:04:41.033,1,1,0,0,1,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:04:41.033,2021-08-16 07:05:41.033,1,0,0,1,0,2,0,2,0,0.0,1.0,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:05:41.033,2021-08-16 07:06:41.033,1,1,1,0,0,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:06:41.033,2021-08-16 07:07:41.033,2,1,0,1,1,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:07:41.033,2021-08-16 07:08:41.033,1,1,0,0,1,2,1,1,0,0.5,0.5,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:08:41.033,2021-08-16 07:09:41.033,1,1,0,0,1,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0
e0435f4cf6fc435c872ffc5b66b66b0c,2021-08-16 07:09:41.033,2021-08-16 07:10:41.033,1,0,0,1,0,2,0,2,0,0.0,1.0,0.0
